sample_id,bleu_1,bleu_4,chrf_score,semantic_score_v1,wer,pred_length,ref_length,length_ratio
val_adapter_TEMPORAL_REPRESENTATION_0,100.0,0.0,100.0,100.0,0.0,3,3,1.0
val_adapter_TEMPORAL_REPRESENTATION_1,75.0,0.0,86.67,60.0,25.0,4,4,1.0
val_adapter_TEMPORAL_REPRESENTATION_2,100.0,0.0,100.0,100.0,0.0,3,3,1.0
val_adapter_TEMPORAL_REPRESENTATION_3,100.0,100.0,100.0,100.0,0.0,4,4,1.0
val_adapter_TEMPORAL_REPRESENTATION_4,100.0,100.0,100.0,100.0,0.0,4,4,1.0
val_adapter_TEMPORAL_REPRESENTATION_5,100.0,0.0,100.0,100.0,0.0,3,3,1.0
val_adapter_TEMPORAL_REPRESENTATION_6,75.0,0.0,86.67,60.0,25.0,4,4,1.0
val_adapter_TEMPORAL_REPRESENTATION_7,100.0,0.0,100.0,100.0,0.0,3,3,1.0
val_adapter_TEMPORAL_REPRESENTATION_8,100.0,100.0,100.0,100.0,0.0,4,4,1.0
val_adapter_TEMPORAL_REPRESENTATION_9,100.0,100.0,100.0,100.0,0.0,4,4,1.0
